101;D;600;2018-07-04
101;R;250;2018-08-18
101;D;900;2018-08-22
102;D;750;2018-10-16
101;D;550;2018-11-21
102;D;600;2018-12-01
103;D;3000;2018-12-08
102;D;850;2018-12-18
102;R;750;2019-01-23
103;D;7000;2019-01-25
101;R;750;2019-02-16
103;R;7500;2019-02-27
102;D;100;2019-03-13
103;D;8000;2019-03-13
101;R;800;2019-05-17
104;R;100;2019-05-26
102;R;850;2019-06-10
103;D;7000;2019-06-13
104;R;450;2019-06-14
103;R;7500;2019-07-02
104;D;150;2019-08-25
104;R;300;2019-09-06
101;D;675;2019-09-20
105;D;2000;2019-10-28
106;R;450;2019-11-30
105;D;9000;2019-12-07
104;D;200;2019-12-12
101;D;540;2019-12-17
106;R;400;2019-12-31
105;D;7500;2020-01-03
105;D;9500;2020-01-13
101;R;420;2020-01-27
106;R;150;2020-01-31
104;D;200;2020-02-26
106;D;400;2020-02-29
101;D;435;2020-03-02
106;D;350;2020-03-13
105;D;2000;2020-04-18
106;R;300;2020-04-28
101;R;210;2020-05-09
105;R;5000;2020-05-09


